,text,label,path,chunk_pos,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,prob,stratum,ground_truth,note
0,What do communists think of Stalin?,0,,,,,,,,,,,,,0.05935345,0-10%,,
1,In each case a woman used deadly force to defend herself against intimate partner violence or sexual assault and survived. Each faced the same legal fate: life without the possibility of parole.,0,,,,,,,,,,,,,0.057480305,0-10%,,
2,The Boogaloo movement has a new strategy,1,,,,,,,,,,,,,0.08932363,0-10%,,
3,The 1946 Oakland General Strike,0,,,,,,,,,,,,,0.051654678,0-10%,,
4,Solidarity! Boycott and sabotage their efforts until they are on their knees.,0,,,,,,,,,,,,,0.050293837,0-10%,,
5,The MeToo Movement Improved the Sex Crime Reporting Rate by 10%,0,,,,,,,,,,,,,0.044298206,0-10%,,
6,Why NY Times report on Trump and seizing voting machines changes the narrative,1,,,,,,,,,,,,,0.08280613,0-10%,,
7,"Our Black Girls Website Tells Stories Of Often-Ignored Missing Girls, Women : NPR",0,,,,,,,,,,,,,0.035320934,0-10%,,
8,Video about current situation of communist party in Czech Republic and events that led to it,0,,,,,,,,,,,,,0.048484683,0-10%,,
9,"Virus woes forces girls across Asia, from India to Vietnam, into child marriage",0,,,,,,,,,,,,,0.035371166,0-10%,,
10,UNESCO recognizes Cubas educational accomplishments,0,,,,,,,,,,,,,0.05553802,0-10%,,
11,More than 70 lab heads removed from NIH grants after harassment findings,0,,,,,,,,,,,,,0.066725716,0-10%,,
12,Seeking climate justice organizers for paid survey,0,,,,,,,,,,,,,0.04395832,0-10%,,
13,Democrats push a matchmaking service for tech workers and campaigns,0,,,,,,,,,,,,,0.030395221,0-10%,,
14,"Modern-Day Slavery Uncovered in South Georgia: ""Under the threat of gun violence, some were allegedly forced to dig for onions with their bare hands, earning only 20 cents for each bucket harvested. At least two people died on the job.""",0,,,,,,,,,,,,,0.08568653,0-10%,,
15,How Finding Radical Feminism Radically Changed my Self-worth,0,,,,,,,,,,,,,0.03809568,0-10%,,
16,How do you suggest approaching political activism while in highschool?,0,,,,,,,,,,,,,0.06507731,0-10%,,
17,"ocratic Party is our hope as progressives, as people who believe in justice, who believe in social and economic justice",1,/anchor.fm/21/httpsanchor.fms166786ecpodcastplay14711359https3A2F2Fd3ctxlq1ktw2nl.cloudfront.net2Fstaging2F2020542F79327725441002131a617187cab.m4aMERGED,41.0,news,politics,,,,,,,,,0.054728102,0-10%,,
18,Every Black Mississippi senator walked out as white colleagues voted to ban critical race theory,0,,,,,,,,,,,,,0.044807333,0-10%,,
19,A Naked Statue for a Feminist Hero?,0,,,,,,,,,,,,,0.0642008,0-10%,,
20,Canada: 751 unmarked graves found at residential school,0,,,,,,,,,,,,,0.07335475,0-10%,,
21,"Analysis | 4 in 5 Trump voters are dissatisfied with how democracy is going, which seems bad",0,,,,,,,,,,,,,0.05498133,0-10%,,
22,"Hello! I am new to being a Social Democrat and Social Democracy as a whole. Can you tell me what it stands for, from mining, the environment, minority rights, economics and more!",0,,,,,,,,,,,,,0.060791776,0-10%,,
23,Thoughts on labor market monopsony?,0,,,,,,,,,,,,,0.05675791,0-10%,,
24,A socialist and an executive sit down at a restaurant,1,,,,,,,,,,,,,0.041241214,0-10%,,
